Applicant (student) Username,Applications ID,Employer Industry Name,Postings Apply Start Date,Postings Expiration Date Date,Student Educations Cumulative Gpa
rdigate,16109457,Defense,2018-09-06,2018-09-30,2.73
aelhelw,19084239,Research,2018-09-06,2019-03-31,
lluo4,18643346,Other Industries,2018-09-06,2018-11-30,3.8
eradford,20944573,Non-Profit - Other,2018-09-06,2018-12-31,3.93
aqayum,22561457,Insurance,2018-09-06,2019-01-30,3.02
vdey,18192089,CPG - Consumer Packaged Goods,2018-09-06,2018-11-23,2.87
phayward,20463555,CPG - Consumer Packaged Goods,2018-09-06,2018-12-31,3.31
mgates7,19804208,Research,2018-09-06,2018-11-06,3.37
jbattag3,18480692,"Government - Local, State & Federal",2018-09-06,2018-10-12,3.32
nlong3,20292652,Telecommunications,2018-09-06,2018-12-31,3.21
avarma6,16225694,Oil & Gas,2018-09-06,2018-09-30,4
ikumar,20251342,CPG - Consumer Packaged Goods,2018-09-06,2018-11-23,3.64
jchoi75,16232918,CPG - Consumer Packaged Goods,2018-09-06,2018-11-23,3.32
ljin12,21880822,Insurance,2018-09-06,2019-01-30,3.32
esadraku,19957371,CPG - Consumer Packaged Goods,2018-09-06,2018-11-23,3.4
pshar12,22758526,Research,2018-09-06,2019-02-12,2.24
lgerstn3,17908631,Human Resources,2018-09-06,2018-10-06,3.75
edesjour,18314235,Investment / Portfolio Management,2018-09-06,2018-10-10,3.49
zwang131,20181756,Insurance,2018-09-06,2019-01-30,3.7
apericol,20473357,CPG - Consumer Packaged Goods,2018-09-06,2018-12-31,3.99
schalla,18072239,Design,2018-09-06,2019-12-30,
nadam,19467246,Research,2018-09-06,2018-12-26,3.7
swu52,19108774,Insurance,2018-09-06,2019-01-30,3.81
lmccarne,17288616,Oil & Gas,2018-09-06,2018-09-30,3.88
arussel7,20825690,International Affairs,2018-09-06,2019-08-31,3.08
mwang54,21374546,CPG - Consumer Packaged Goods,2018-09-06,2018-12-31,3.86
ohochste,18088820,Design,2018-09-06,2018-10-05,3.13
mhaddad3,18825375,CPG - Consumer Packaged Goods,2018-09-06,2018-12-31,3.66
beder,17419789,Research,2018-09-06,2018-11-27,3.9
jzh135,21319408,Electronic & Computer Hardware,2018-09-06,2019-03-06,3.5
beder,17420060,Research,2018-09-06,2018-10-29,3.9
nwies,19528384,Research,2018-09-06,2018-11-30,3.88
flin11,19574940,Insurance,2018-09-06,2019-01-30,3.94
mhaddad3,18064938,Aerospace,2018-09-06,2018-11-02,3.66
dayele,21239055,Telecommunications,2018-09-06,2018-12-31,3.85
ohochste,18596325,Investment / Portfolio Management,2018-09-06,2018-10-14,3.13
tkha,18362714,Investment / Portfolio Management,2018-09-06,2018-10-10,3.03
ylei4,19774295,Other Industries,2018-09-06,2019-02-12,3.76
aelhelw,19084713,Research,2018-09-06,2019-03-27,
nadam,19203272,Research,2018-09-06,2019-03-31,3.7
ohochste,20185024,CPG - Consumer Packaged Goods,2018-09-06,2018-11-23,3.13
ohochste,20084797,CPG - Consumer Packaged Goods,2018-09-06,2018-11-23,3.13
swu52,19107540,Insurance,2018-09-06,2019-01-30,3.81
lavelarp,23235706,Design,2018-09-06,2019-12-30,3.71
ylei4,18785687,Other Industries,2018-09-06,2019-02-12,3.76
xgu17,20263255,Research,2018-09-06,2019-01-10,
beder,17420065,Research,2018-09-06,2018-11-30,3.9
lzhu12,22252263,Other Industries,2018-09-06,2019-02-12,3.7
tgui,20466789,Research,2018-09-06,2019-02-12,2.61
rbarnes6,17786454,Accounting,2018-09-05,2019-09-05,3.59
dgautam2,20307949,Utilities and Renewable Energy,2018-09-05,2018-12-08,3.98
ohochste,20084563,Accounting,2018-09-05,2019-09-05,3.13
lzhang92,20632479,Computer Networking,2018-09-05,2018-12-14,
lliao6,9836517,Research,2018-09-05,2018-11-30,3.7
tmarera,19592144,Utilities and Renewable Energy,2018-09-05,2018-12-10,3.78
bzirps,19325180,Utilities and Renewable Energy,2018-09-05,2018-12-08,3.93
jmao13,17229041,Utilities and Renewable Energy,2018-09-05,2018-12-10,2.67
jqi8,25111751,Human Resources,2018-09-05,2020-03-04,
lbashfor,20782824,Utilities and Renewable Energy,2018-09-05,2018-12-08,3.82
vpatel18,18089560,Internet & Software,2018-09-05,2018-10-24,3.29
xxiao6,17418172,Internet & Software,2018-09-05,2018-09-25,
mtalha,18951907,Utilities and Renewable Energy,2018-09-05,2018-12-08,2.57
sdas13,20030868,Computer Networking,2018-09-05,2018-12-14,3.97
jtraver4,25297114,Human Resources,2018-09-05,2020-03-04,3.29
sjacks26,20179212,Utilities and Renewable Energy,2018-09-05,2018-12-08,3.81
jwang131,17345691,Internet & Software,2018-09-05,2018-11-05,3.64
mtalha,19558133,Utilities and Renewable Energy,2018-09-05,2018-12-08,2.57
sadhika4,19671704,Computer Networking,2018-09-05,2018-12-14,3.9
yliang31,26125417,Accounting,2018-09-05,2019-09-05,3.76
bandoh,22624645,Investment Banking,2018-09-05,2019-01-31,2.92
lavelarp,20559038,Research,2018-09-05,2018-11-30,3.71
aflaschn,11569143,Research,2018-09-05,2018-11-30,3.71
cmawnmah,20654235,Civil Engineering,2018-09-05,2018-12-28,3.16
skaveti,19503763,Internet & Software,2018-09-05,2018-11-05,3.73
aisafiad,20214228,Utilities and Renewable Energy,2018-09-05,2018-12-10,3.06
yyang107,18947154,Internet & Software,2018-09-05,2018-10-31,3.6
ckim48,16248617,Internet & Software,2018-09-05,2018-10-24,3.03
lluo4,17613328,Internet & Software,2018-09-05,2018-10-05,3.8
rakomea,19446477,Utilities and Renewable Energy,2018-09-05,2018-12-10,3.57
lluo4,17613022,Internet & Software,2018-09-05,2018-10-05,3.8
bchen16,16690167,Internet & Software,2018-09-05,2018-10-24,2.62
dlevin4,17617298,Utilities and Renewable Energy,2018-09-05,2018-12-10,3.98
dchua,16191844,Utilities and Renewable Energy,2018-09-05,2018-12-08,3.74
xxiao6,17415608,Internet & Software,2018-09-05,2018-10-31,
jzh110,20395988,Utilities and Renewable Energy,2018-09-05,2018-12-10,3.81
yzh203,19392306,Utilities and Renewable Energy,2018-09-05,2018-12-10,3.66
jliu100,17961670,Human Resources,2018-09-05,2018-10-23,3.5
scatherm,18161314,Environmental Services,2018-09-05,2018-10-12,
cbendavi,20408403,Utilities and Renewable Energy,2018-09-05,2018-12-08,2.9
jkim342,21689830,Investment Banking,2018-09-05,2019-01-31,3.7
jfost17,17644039,Internet & Software,2018-09-05,2018-11-01,3.47
aosho,20803753,Investment Banking,2018-09-05,2019-01-31,
mhaddad3,18815531,Utilities and Renewable Energy,2018-09-05,2018-12-08,3.66
jzh126,20397599,Utilities and Renewable Energy,2018-09-05,2018-12-08,3.21
zwang131,18150185,Internet & Software,2018-09-05,2018-11-05,3.7
yyuan21,20135123,Utilities and Renewable Energy,2018-09-05,2018-12-10,
taktas,18639476,Internet & Software,2018-09-05,2018-11-05,3.51
ohochste,17765935,Human Resources,2018-09-05,2018-10-05,3.13
bzirps,18206959,Utilities and Renewable Energy,2018-09-05,2018-12-08,3.93
jrosell,17259020,K-12 Education,2018-09-05,2018-10-23,2.86
jzh110,19711939,Scientific and Technical Consulting,2018-09-05,2018-11-04,3.81
tgui,20465551,Utilities and Renewable Energy,2018-09-05,2018-12-08,2.61
tcook7,18413937,Utilities and Renewable Energy,2018-09-05,2018-12-10,2.8
mtalha,19558395,Utilities and Renewable Energy,2018-09-05,2018-12-08,2.57
mhasan8,19969443,Computer Networking,2018-09-05,2018-12-14,
rakomea,19448648,Utilities and Renewable Energy,2018-09-05,2018-12-10,3.57
bneupane,17396916,Internet & Software,2018-09-05,2018-11-05,3.57
fwu12,9921687,Research,2018-09-05,2018-11-30,3.4
xzh116,19772916,Human Resources,2018-09-05,2020-03-04,3.7
apericol,19847211,Utilities and Renewable Energy,2018-09-05,2018-12-10,3.99
hzhao20,26145725,Accounting,2018-09-05,2019-09-05,3.5
xxiao6,17413886,Healthcare,2018-09-05,2018-10-17,
sdhoro,19994576,Utilities and Renewable Energy,2018-09-05,2018-12-10,3.27
tgui,20773896,Utilities and Renewable Energy,2018-09-05,2018-12-08,2.61
yzhou65,20698337,Utilities and Renewable Energy,2018-09-05,2018-12-10,3.63
mwang74,20322143,Computer Networking,2018-09-05,2018-12-14,
wlee33,17622851,Internet & Software,2018-09-05,2018-10-31,3.25
jmao13,17234863,Utilities and Renewable Energy,2018-09-05,2018-12-10,2.67
mguerrag,16406617,Human Resources,2018-09-05,2018-10-05,3.51
apericol,19774691,Computer Networking,2018-09-05,2018-12-14,3.99
mhaddad3,18068969,Utilities and Renewable Energy,2018-09-05,2018-12-08,3.66
hduracic,17710968,Human Resources,2018-09-05,2018-10-05,3.06
hmohame4,16834966,Internet & Software,2018-09-05,2018-10-05,3.35
xxiao6,17418027,Healthcare,2018-09-05,2018-10-17,
cirankun,18011650,Human Resources,2018-09-05,2018-10-23,
hgong5,19023980,Human Resources,2018-09-05,2018-10-23,3.1
pdinev,22435457,Investment Banking,2018-09-05,2019-01-31,3.39
lluo4,18034883,Computer Networking,2018-09-05,2018-12-14,3.8
yzhou65,20371523,Investment Banking,2018-09-05,2019-01-31,3.63
hzhu24,17302820,Internet & Software,2018-09-05,2018-10-31,4
ptrived2,14833294,Research,2018-09-05,2018-11-30,3.8
rkruglya,10076862,Research,2018-09-05,2018-11-30,3
yliu139,18417405,Internet & Software,2018-09-05,2018-11-05,3.99
mover,20785592,Utilities and Renewable Energy,2018-09-05,2018-12-10,3.21
bchen16,16690146,Internet & Software,2018-09-05,2018-10-05,2.62
kding5,20796073,Utilities and Renewable Energy,2018-09-05,2018-12-10,3.97
mhaddad3,20716154,Utilities and Renewable Energy,2018-09-05,2018-12-08,3.66
jfost17,18246121,Human Resources,2018-09-05,2018-10-05,3.47
jchoi75,19173801,Utilities and Renewable Energy,2018-09-05,2018-12-10,3.32
cbendavi,19052144,Utilities and Renewable Energy,2018-09-05,2018-12-08,2.9
cwang84,17341661,Management Consulting,2018-09-05,2018-10-31,3.81
dkiselev,22217743,Human Resources,2018-09-05,2020-03-04,3.18
alau2,17992929,Utilities and Renewable Energy,2018-09-05,2018-12-08,3.56
xchen74,22875930,Investment Banking,2018-09-05,2019-01-31,3.6
vdey,20423134,Utilities and Renewable Energy,2018-09-05,2018-12-10,2.87
jbattag3,16836619,Internet & Software,2018-09-05,2018-10-09,3.32
gklimias,18366496,Utilities and Renewable Energy,2018-09-05,2018-12-10,4
blemeneh,19896759,Human Resources,2018-09-05,2020-03-04,3.11
shajisey,20684925,Computer Networking,2018-09-05,2018-12-14,3.85
zwang131,18148526,Internet & Software,2018-09-05,2018-10-05,3.7
sgoettle,18150671,Human Resources,2018-09-05,2018-10-05,3.58
tkhan6,10104457,Research,2018-09-05,2018-11-30,3.72
gmongell,10415412,Research,2018-09-05,2018-11-30,3.75
mabdeen,20758548,Utilities and Renewable Energy,2018-09-05,2018-12-10,3.74
vou,22116270,Human Resources,2018-09-05,2020-03-04,3.45
tnoordsi,20640667,Utilities and Renewable Energy,2018-09-05,2018-12-08,3.64
azimme15,17304013,Internet & Software,2018-09-05,2018-10-05,3.45
bwang40,23633095,Human Resources,2018-09-05,2020-03-04,3.2
dvillar,11825527,Research,2018-09-05,2018-11-30,2.53
sduquet2,9888010,Research,2018-09-05,2018-11-30,2.54
szhang73,19720694,Scientific and Technical Consulting,2018-09-05,2018-11-04,3.74
yyang107,18946965,Internet & Software,2018-09-05,2018-10-24,3.6
aprotyas,19694650,Utilities and Renewable Energy,2018-09-05,2018-12-10,3.66
jjenkin7,22559002,Investment Banking,2018-09-05,2019-01-31,3.36
afayeque,16612005,Investment / Portfolio Management,2018-09-05,2018-09-16,3.35
mmcgove4,11859736,Research,2018-09-05,2018-11-30,3.3
dgautam2,17644083,Utilities and Renewable Energy,2018-09-05,2018-12-08,3.98
mholm15,19859505,Utilities and Renewable Energy,2018-09-05,2018-12-10,3.14
mhenry16,17866894,Internet & Software,2018-09-05,2018-10-24,3.35
rpage4,16132903,Investment Banking,2018-09-05,2019-01-31,3.56
yyuan21,18093208,Civil Engineering,2018-09-05,2018-12-28,
dbassi2,18565711,Internet & Software,2018-09-05,2018-10-24,3.55
ttanen,20788778,Utilities and Renewable Energy,2018-09-05,2018-12-10,3.51
dchua,20171764,Utilities and Renewable Energy,2018-09-05,2018-12-08,3.74
aregels2,17288680,Internet & Software,2018-09-05,2018-10-05,2.4
sadhika4,19090136,Internet & Software,2018-09-05,2018-10-31,3.9
jhu41,26129187,Accounting,2018-09-05,2019-09-05,
jzh126,20397788,Utilities and Renewable Energy,2018-09-05,2018-12-08,3.21
ssharfel,18386817,Utilities and Renewable Energy,2018-09-05,2018-12-10,3.33
jrosell,17258314,"Government - Local, State & Federal",2018-09-05,2018-09-30,2.86
jfost17,16876805,Research,2018-09-04,2018-09-17,3.47
kgurcan,16562027,Defense,2018-09-04,2019-01-05,3.2
vdey,17294644,Defense,2018-09-04,2019-01-05,2.87
szainula,22628569,Investment Banking,2018-09-04,2019-01-31,3.49
zwang131,20181788,Internet & Software,2018-09-04,2018-12-20,3.7
alin16,25535990,Internet & Software,2018-09-04,2019-09-30,2.97
sgoettle,17907508,Investment / Portfolio Management,2018-09-04,2018-09-30,3.58
jra,18898698,Investment Banking,2018-09-04,2018-11-02,3.39
lhall15,21313895,Defense,2018-09-04,2019-01-05,3.34
lcouliba,16770935,Investment Banking,2018-09-04,2018-10-12,3.34
akaplan6,20951933,Scientific and Technical Consulting,2018-09-04,2019-12-31,3.86
spaudel,19720546,Real Estate,2018-09-04,2018-11-13,3.17
mmitrovs,16169378,Investment Banking,2018-09-04,2018-11-02,3.3
mwang74,22075181,Automotive,2018-09-04,2019-08-01,
apericol,21915267,Investment Banking,2018-09-04,2019-01-31,3.99
xcao10,19379054,Investment Banking,2018-09-04,2018-11-02,3.2
ydu17,16970896,Investment Banking,2018-09-04,2018-11-02,3.32
mgentil3,22406866,Internet & Software,2018-09-04,2019-09-30,3.56
btait2,20953391,Manufacturing - Other,2018-09-04,2018-12-31,3.35
jliu100,18032082,Medical Devices,2018-09-04,2018-11-01,3.5
mibrahi6,20496774,Internet & Software,2018-09-04,2018-12-20,
jra,19636393,Investment Banking,2018-09-04,2018-11-02,3.39
xchen74,17871817,Investment / Portfolio Management,2018-09-04,2018-09-30,3.6
alin16,26550731,Automotive,2018-09-04,2019-08-01,2.97
mfan8,19527956,Investment Banking,2018-09-04,2018-11-02,3.52
rkao,23910513,Commercial Banking & Credit,2018-09-04,2019-02-28,3.43
bneupane,19757615,Investment Banking,2018-09-04,2019-01-31,3.57
mfan8,19527988,Investment Banking,2018-09-04,2018-11-02,3.52
ssharfel,19423816,Manufacturing - Other,2018-09-04,2018-12-31,3.33
mabdeen,20984780,Manufacturing - Other,2018-09-04,2018-12-31,3.74
yyang92,23397339,Internet & Software,2018-09-04,2019-05-31,3.37
skaveti,19812001,Investment Banking,2018-09-04,2019-01-31,3.73
jliu74,22661654,Human Resources,2018-09-04,2019-08-31,3.19
apericol,20473735,Manufacturing - Other,2018-09-04,2018-12-31,3.99
gtacaray,16368704,"Advertising, PR & Marketing",2018-09-04,2018-11-01,2.94
jliu74,22661684,Human Resources,2018-09-04,2019-08-31,3.19
koh4,18395389,Investment Banking,2018-09-04,2018-10-12,3.6
lemanuel,19661848,Scientific and Technical Consulting,2018-09-04,2019-12-31,3.5
wlee33,17665911,Investment Banking,2018-09-04,2019-02-14,3.25
xwang132,24756644,Internet & Software,2018-09-04,2019-09-30,3.7
jhallid2,26170414,Internet & Software,2018-09-04,2019-09-30,3.65
yzhou65,22631024,Insurance,2018-09-04,2019-01-31,3.63
jliu74,23459432,Human Resources,2018-09-04,2019-08-31,3.19
ohochste,19685596,Aerospace,2018-09-04,2018-11-05,3.13
azimme15,17304104,Investment Banking,2018-09-04,2019-01-31,3.45
kding5,18915291,Insurance,2018-09-04,2019-01-31,3.97
pconte,21178356,Electronic & Computer Hardware,2018-09-04,2018-12-31,3.43
ydu17,16154108,Investment Banking,2018-09-04,2018-09-24,3.32
ohochste,19449868,Automotive,2018-09-04,2019-08-01,3.13
afayeque,18094776,Investment Banking,2018-09-04,2018-10-12,3.35
jra,19635277,Investment Banking,2018-09-04,2018-11-02,3.39
schalla,25390694,Management Consulting,2018-09-04,2019-05-31,
sshahrin,20763958,Internet & Software,2018-09-04,2018-12-20,3.08
mtandoh2,26095972,Internet & Software,2018-09-04,2019-09-30,
xdeng5,26564454,Internet & Software,2018-09-04,2019-09-30,
jpark177,22567314,Automotive,2018-09-04,2019-08-01,
koh4,18598922,Investment Banking,2018-09-04,2018-10-12,3.6
rlopezri,19376108,Electronic & Computer Hardware,2018-09-04,2018-12-31,3.26
zabaziz,17797619,Computer Networking,2018-09-04,2019-04-18,2.72
vezenwa,6778310,Management Consulting,2018-09-04,2019-05-31,3.12
jra,19635423,Investment Banking,2018-09-04,2018-11-02,3.39
jra,19635543,Investment Banking,2018-09-04,2018-11-02,3.39
mlutfy,17962617,Internet & Software,2018-09-04,2018-12-20,3.21
avarma6,16225917,Scientific and Technical Consulting,2018-09-04,2019-12-31,4
mherm12,23764664,Automotive,2018-09-04,2019-08-01,3.35
lluo4,19527829,Real Estate,2018-09-04,2018-11-13,3.8
ckim48,16248043,Investment Banking,2018-09-04,2018-10-12,3.03
schen94,16423685,Insurance,2018-09-04,2019-01-31,3.24
dwoodyar,21403555,Manufacturing - Other,2018-09-04,2018-12-31,3.23
tgui,20471398,Construction,2018-09-04,2018-11-30,2.61
ygao53,16748668,Performing and Fine Arts,2018-09-04,2018-11-29,3.73
jzhang89,18883698,Investment / Portfolio Management,2018-09-04,2018-12-31,3.84
bneupane,19135868,Internet & Software,2018-09-04,2018-12-20,3.57
bneupane,19137330,Healthcare,2018-09-04,2018-11-02,3.57
myu24,26068108,Automotive,2018-09-04,2019-08-01,3.16
bwang42,18273059,Investment Banking,2018-09-04,2018-11-02,3.35
lguo16,21208698,Other Industries,2018-09-04,2019-03-31,3.78
balmont2,21321784,Automotive,2018-09-04,2019-08-01,2.6
cwang84,17917953,Investment Banking,2018-09-04,2018-11-02,3.81
gklimias,19394520,Manufacturing - Other,2018-09-04,2018-12-31,4
jsmall4,15957943,Internet & Software,2018-09-04,2019-09-30,3.24
vantony,20737225,Internet & Software,2018-09-04,2018-12-20,3.72
avarma6,18738885,Management Consulting,2018-09-04,2019-05-31,4
slu24,19668449,Aerospace,2018-09-04,2018-11-05,2.83
snwabunw,26684087,Electronic & Computer Hardware,2018-09-04,2019-06-30,
skaveti,19503622,Other Industries,2018-09-04,2018-11-07,3.73
jra,18899242,Investment Banking,2018-09-04,2018-11-02,3.39
zye15,22987420,Automotive,2018-09-04,2019-08-01,3.9
lluo4,23427199,Investment Banking,2018-09-04,2019-02-14,3.8
jzhong9,19794156,Internet & Software,2018-09-04,2018-12-20,3.52
zlin12,18293036,Internet & Software,2018-09-04,2019-09-30,
jjenkin7,19659903,Investment / Portfolio Management,2018-09-04,2018-12-31,3.36
yzhou65,19589455,Investment Banking,2018-09-04,2018-11-02,3.63
uohajekw,26672982,Automotive,2018-09-04,2019-08-01,3.08
msingh20,10876444,Electronic & Computer Hardware,2018-09-04,2019-06-30,3.9
ygong15,16947582,"Advertising, PR & Marketing",2018-09-04,2018-09-24,4
asayeed,17439844,Commercial Banking & Credit,2018-09-04,2019-02-28,3.3
asingh36,11015818,Electronic & Computer Hardware,2018-09-04,2019-06-30,3.83
xxiao6,18017694,Real Estate,2018-09-04,2018-11-13,
jpelagal,23759128,Commercial Banking & Credit,2018-09-04,2019-02-28,3.67
skaveti,20672530,Internet & Software,2018-09-04,2018-12-20,3.73
zyang46,17538705,Other Industries,2018-09-04,2019-03-31,4
xdeng5,25607740,Internet & Software,2018-09-04,2019-09-30,
ygong15,16393403,"Advertising, PR & Marketing",2018-09-04,2018-10-18,4
lluo4,17614621,Investment / Portfolio Management,2018-09-04,2018-12-31,3.8
koh4,17755886,Investment Banking,2018-09-04,2018-10-12,3.6
yzh203,17638769,Investment Banking,2018-09-04,2018-11-02,3.66
jzhang89,18910439,Investment / Portfolio Management,2018-09-04,2018-12-31,3.84
bwang28,18018015,Investment Banking,2018-09-04,2018-10-12,3.6
tshapiro,24399600,Internet & Software,2018-09-04,2019-09-30,3.53
jdenn11,19892294,Insurance,2018-09-04,2019-01-31,3.51
jra,19635607,Investment Banking,2018-09-04,2018-11-02,3.39
dkiselev,20431349,Investment Banking,2018-09-04,2019-02-14,3.18
lguo16,19657616,Internet & Software,2018-09-04,2019-09-30,3.78
hmohame4,18207486,Internet & Software,2018-09-04,2018-12-20,3.35
mwilli98,25302948,Internet & Software,2018-09-04,2019-09-30,2.25
jzhou39,22326483,Other Industries,2018-09-04,2019-03-31,3.85
yyang92,19486282,Investment Banking,2018-09-04,2018-11-02,3.37
skim212,25385304,Internet & Software,2018-09-04,2019-09-30,2.56
xchen74,19278529,Internet & Software,2018-09-04,2019-09-30,3.6
sglinski,17941795,Management Consulting,2018-09-03,2018-10-01,3.3
lavelarp,26457339,Politics,2018-09-03,2019-06-30,3.71
coh2,16781985,Human Resources,2018-09-03,2019-07-05,3.53
dabarcae,24312534,Politics,2018-09-03,2019-09-30,3.27
dabarcae,24312569,Politics,2018-09-03,2019-06-30,3.27
lguo16,21229646,Investment Banking,2018-09-03,2018-12-31,3.78
apeyton,25458329,Civil Engineering,2018-09-03,2019-03-28,3.41
rbhular,25384885,Civil Engineering,2018-09-03,2019-03-28,3.4
aprotyas,19720605,Civil Engineering,2018-09-03,2019-03-29,3.66
ohochste,17757960,Retail Stores,2018-09-03,2018-11-30,3.13
jfeidelb,18564975,Investment Banking,2018-09-03,2018-12-31,3.45
jfoong,22505093,Politics,2018-09-03,2019-09-30,3.58
coh2,16710477,Investment Banking,2018-09-03,2018-12-31,3.53
zyang43,22242910,Civil Engineering,2018-09-03,2019-03-28,3.84
ckim48,17118270,Insurance,2018-09-03,2018-10-05,3.03
apericol,20473973,Civil Engineering,2018-09-03,2019-03-29,3.99
vgarza2,25735293,Politics,2018-09-03,2019-06-30,2.61
dwong16,19815548,Civil Engineering,2018-09-03,2019-03-29,3.5
jfost17,17644510,Investment Banking,2018-09-03,2018-12-31,3.47
bezzat,17964873,Civil Engineering,2018-09-03,2019-03-29,3.68
yyang92,19486315,Investment Banking,2018-09-03,2018-12-31,3.37
gharr12,15921267,Investment Banking,2018-09-03,2018-12-31,3.76
dwong16,19811389,Civil Engineering,2018-09-03,2019-03-29,3.5
rbhular,25385076,Civil Engineering,2018-09-03,2019-03-28,3.4
jzh110,20489166,Civil Engineering,2018-09-03,2019-03-29,3.81
kkim66,25461458,Civil Engineering,2018-09-03,2019-03-28,3.5
lmedalla,18775648,Civil Engineering,2018-09-03,2019-03-28,3.46
yhu43,19960678,Retail Stores,2018-09-03,2018-11-30,3.45
ysabo,18743969,Civil Engineering,2018-09-03,2019-03-28,2.8
kkim66,25807560,Civil Engineering,2018-09-03,2019-03-28,3.5
sgoettle,18235319,Politics,2018-09-03,2019-06-30,3.58
mover,24511183,Civil Engineering,2018-09-03,2019-03-29,3.21
kkim66,25807321,Civil Engineering,2018-09-03,2019-03-28,3.5
xli125,22465739,Civil Engineering,2018-09-03,2019-03-28,3.8
schen94,17052640,Social Assistance,2018-09-03,2018-11-30,3.24
enunez,19878413,Civil Engineering,2018-09-03,2019-03-28,
bschonfe,25900798,Civil Engineering,2018-09-03,2019-03-28,2.39
jgray23,19096411,Civil Engineering,2018-09-03,2019-03-28,3.76
pnugent3,23210772,Civil Engineering,2018-09-03,2019-03-28,3.05
rbhular,25385035,Civil Engineering,2018-09-03,2019-03-28,3.4
lavelarp,21398194,Investment Banking,2018-09-03,2018-12-31,3.71
asm142,24521651,Politics,2018-09-03,2019-06-30,2.65
oostrike,17987574,Investment Banking,2018-09-03,2018-12-31,3.54
jjenkin7,22028176,Civil Engineering,2018-09-03,2019-03-28,3.36
ekayton,21920985,Civil Engineering,2018-09-03,2019-03-29,3.56
mwang74,20517780,Social Assistance,2018-09-03,2018-11-30,
dkim90,21483636,Politics,2018-09-03,2019-06-30,3.49
zwenzel,19118976,Civil Engineering,2018-09-03,2019-03-29,3.15
xli101,19234205,Social Assistance,2018-09-03,2018-11-30,3.4
sbelitzk,25665732,Civil Engineering,2018-09-03,2019-03-28,
cyan6,22298501,Investment / Portfolio Management,2018-09-03,2019-02-06,3.48
jfost17,17548528,Politics,2018-09-03,2019-09-30,3.47
mabdeen,20788326,Civil Engineering,2018-09-03,2019-03-29,3.74
bsacatuc,20892896,Politics,2018-09-03,2019-09-30,3.18
dfine,25875156,Civil Engineering,2018-09-03,2019-03-28,3.64
mlee72,21189307,Investment / Portfolio Management,2018-09-03,2019-02-06,3.36
jfost17,17548445,Politics,2018-09-03,2019-06-30,3.47
yyuan21,20136321,Civil Engineering,2018-09-03,2019-03-29,
amunguia,26238627,Politics,2018-09-03,2019-09-30,3.78
lkaze2,18924485,Civil Engineering,2018-09-03,2019-03-28,3.06
apericol,22379461,Civil Engineering,2018-09-03,2019-03-29,3.99
szheng10,19631564,Retail Stores,2018-09-03,2018-11-30,3.54
ylei4,18629625,Investment Banking,2018-09-03,2018-12-31,3.76
jfoong,22505089,Politics,2018-09-03,2019-06-30,3.58
fnova,21739185,Civil Engineering,2018-09-03,2019-03-29,3.49
mgentil3,22388393,Politics,2018-09-03,2019-06-30,3.56
rbarnes6,17767628,Defense,2018-09-03,2018-09-30,3.59
ggalindo,25303832,Civil Engineering,2018-09-03,2019-03-29,3
vdavila,23030483,Politics,2018-09-03,2019-06-30,3.53
mgentil3,20618020,Investment Banking,2018-09-03,2018-12-31,3.56
kdesmond,19647823,Civil Engineering,2018-09-03,2019-03-29,4
yzh167,23574671,Politics,2018-09-03,2019-06-30,3.31
ysabo,18744273,Civil Engineering,2018-09-03,2019-03-28,2.8
ssabha,17946558,Civil Engineering,2018-09-03,2019-03-29,3.59
jkapner,19163593,Politics,2018-09-03,2018-12-31,3.99
yzhou65,20369927,Investment Banking,2018-09-03,2018-12-31,3.63
vgarza2,24715559,Politics,2018-09-03,2019-09-30,2.61
jpelagal,20654702,Investment Banking,2018-09-03,2018-12-31,3.67
nnickers,24179425,Civil Engineering,2018-09-03,2019-03-29,3.98
rpage4,18089574,Social Assistance,2018-09-03,2018-11-30,3.56
ohochste,17902122,Defense,2018-09-03,2018-09-30,3.13
dwoodyar,21403518,Manufacturing - Other,2018-09-03,2018-12-31,3.23
xxie10,18355208,Investment Banking,2018-09-03,2018-12-31,3.61
vagarwa2,20929125,Politics,2018-09-03,2019-09-30,3.4
dfine,25881361,Civil Engineering,2018-09-03,2019-03-29,3.64
anunez2,16146788,Politics,2018-09-03,2019-09-30,3.37
ths2014@gmail.com,14640264,Politics,2018-09-02,2019-06-01,3
cchance2,20059769,Insurance,2018-09-02,2018-11-30,2.05
ohochste,20383647,Insurance,2018-09-02,2018-11-30,3.13
jpolimen,20391212,Insurance,2018-09-02,2018-11-30,2.9
span11,19846744,Insurance,2018-09-02,2018-11-30,3.55
yjiang40,17256623,Insurance,2018-09-02,2018-11-30,3.61
yjiang40,17256797,Insurance,2018-09-02,2018-11-30,3.61
mwang74,20322178,Non-Profit - Other,2018-09-01,2018-12-31,
bwaldrop,20519013,Social Assistance,2018-09-01,2018-11-30,3.83
ckim48,16741443,Internet & Software,2018-09-01,2018-10-31,3.03
lluo4,18654051,Internet & Software,2018-09-01,2018-10-30,3.8
aabreu,20204791,Management Consulting,2018-09-01,2019-01-08,2.37
yyang107,18522674,Internet & Software,2018-09-01,2018-10-30,3.6
zabaziz,17798929,Internet & Software,2018-09-01,2018-10-31,2.72
fwu12,17394852,Management Consulting,2018-09-01,2019-01-08,3.4
